disease,num_targets,avg_score,top_protein
iridocyclitis,1,0.291,Q16539
muscle cramp,1,0.306,P45983
Specific learning disability,1,0.514,P28482
Cachexia,1,0.3,O00311
"leukoencephalopathy, diffuse hereditary, with spheroids 1",1,0.839,P07333
severe combined immunodeficiency due to IKK2 deficiency,1,0.787,O14920
immunodeficiency 15a,1,0.648,O14920
autoimmune disorder of musculoskeletal system,1,0.398,O14920
cocoon syndrome,1,0.674,O15111
Bartsocas-Papas syndrome 1,1,0.403,O15111
severe combined immunodeficiency due to LCK deficiency,1,0.761,P06239
Hereditary diffuse leukoencephalopathy with axonal spheroids and pigmented glia,1,0.832,P07333
Noonan syndrome 13,1,0.581,P28482
"brain abnormalities, neurodegeneration, and dysosteosclerosis",1,0.785,P07333
"leukoencephalopathy, hereditary diffuse, with spheroids",1,0.565,P07333
"tenosynovial giant cell tumor, diffuse type",1,0.525,P07333
cardiofaciocutaneous syndrome 1,1,0.763,P15056
Noonan syndrome 7,1,0.759,P15056
LEOPARD syndrome 3,1,0.756,P15056
Moyamoya disease,1,0.259,Q16584
Abnormality of the integument,1,0.227,O00311
Rabson-Mendenhall syndrome,1,0.82,P06213
bone osteosarcoma,1,0.711,O96017
multiple congenital anomalies/dysmorphic syndrome-intellectual disability,1,0.483,O95819
adrenal gland hyperfunction,1,0.306,O95819
renal dysplasia,1,0.266,O95819
imperforate anus,1,0.266,O95819
Hereditary breast cancer,1,0.727,O96017
hereditary breast carcinoma,1,0.727,O96017
CHEK2-related cancer predisposition,1,0.666,O96017
knee injury,1,0.276,O75582
hereditary sensory and autonomic neuropathy type 4,1,0.858,P04629
spinocerebellar ataxia type 14,1,0.79,P05129
hereditary ataxia,1,0.334,P05129
cerebellar ataxia,1,0.265,P05129
Leprechaunism,1,0.845,P06213
insulin-resistance syndrome type A,1,0.845,P06213
bone fracture,1,0.274,O75582
osteoporosis,1,0.282,O75582
scleritis,1,0.225,O00311
movement disorder,1,0.074,O43293
oocyte/zygote/embryo maturation arrest 21,1,0.478,O14757
Male infertility due to gonadal dysgenesis or sperm disorder,1,0.266,O14757
unspecified peripheral T-cell lymphoma,1,0.259,O14965
Breast hypertrophy,1,0.309,O15075
generalized dystonia,1,0.296,O15075
hypopituitarism,1,0.265,O15075
"intellectual disability, autosomal recessive 59",1,0.074,O43293
morbid obesity,1,0.298,O75582
schizophrenia 15,1,0.074,O43293
attention deficit-hyperactivity disorder 8,1,0.074,O43293
myeloproliferative disorder,1,0.724,O60674
Splenomegaly,1,0.688,O60674
essential thrombocythemia,1,0.633,O60674
basal cell carcinoma,1,0.318,O75116
symptomatic form of Coffin-Lowry syndrome in female carriers,1,0.37,P51812
Mayer-Rokitansky-Kuster-Hauser syndrome,1,0.074,P51817
megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2,1,0.805,Q9Y243
Male infertility with spermatogenesis disorder due to single gene mutation,1,0.074,Q96PF2
spermatogenic failure 65,1,0.09,Q8NE63
spermatogenic failure 58,1,0.09,Q8NE63
spermatogenic failure 79,1,0.09,Q8NE63
temporal lobe epilepsy,1,0.038,Q8TDC3
ovulation,1,0.027,Q8TDC3
NK-cell enteropathy,1,0.259,Q96GD4
Female infertility due to fertilization defect,1,0.072,Q96PF2
spermatogenic failure 11,1,0.091,Q8NE63
Rare genetic female infertility,1,0.069,Q96PF2
spermatogenic failure 3,1,0.061,Q96PF2
spermatogenic failure 55,1,0.061,Q96PF2
spermatogenic failure 26,1,0.058,Q96PF2
spermatogenic failure 87,1,0.058,Q96PF2
spermatogenic failure 53,1,0.058,Q96PF2
spermatogenic failure 10,1,0.091,Q8NE63
congenital myasthenic syndrome,1,0.182,Q8N4C8
inborn disorder of amino acid metabolism,1,0.043,Q9BXA7
cystitis,1,0.07,Q16644
ganglioglioma,1,0.375,Q16288
congenital mesoblastic nephroma,1,0.374,Q16288
"obesity, hyperphagia, and developmental delay",1,0.731,Q16620
pilocytic astrocytoma,1,0.376,Q16620
patterned macular dystrophy 3,1,0.547,Q16644
patterned macular dystrophy,1,0.37,Q16644
autosomal recessive ataxia due to ubiquinone deficiency,1,0.333,Q5VT25
neurocardiofaciodigital syndrome,1,0.694,Q8IW41
coenzyme Q10 deficiency,1,0.333,Q5VT25
stomach disease,1,0.314,Q5VT25
autism spectrum disorder,1,0.57,Q7KZI7
pancreatic adenocarcinoma,1,0.269,Q7KZI7
Anxiety,1,0.12,Q7KZI7
developmental delay with or without intellectual impairment or behavioral abnormalities,1,0.779,Q7L7X3
celiac disease,1,0.147,Q96SB4
congenital heart disease,1,0.04,Q9BXA7
polycystic ovary syndrome,1,0.544,Q15303
centronuclear myopathy,1,0.386,Q9NYL2
inborn error of immunity,1,0.464,Q9NWZ3
immunodeficiency 33,1,0.342,Q9NWZ3
congenital dyserythropoietic anemia,1,0.296,Q9NWZ3
pericarditis,1,0.263,Q9NWZ3
"myopathy, centronuclear, 6, with fiber-type disproportion",1,0.75,Q9NYL2
split-foot malformation-mesoaxial polydactyly syndrome,1,0.743,Q9NYL2
congenital fiber-type disproportion myopathy,1,0.37,Q9NYL2
immunodeficiency 67,1,0.759,Q9NWZ3
Split hand-split foot malformation,1,0.333,Q9NYL2
obstructive sleep apnea,1,0.028,Q9UEE5
neuroblastoma,1,0.802,Q9UM73
"neuroblastoma, susceptibility to, 3",1,0.746,Q9UM73
anaplastic large cell lymphoma,1,0.513,Q9UM73
inflammatory myofibroblastic tumor,1,0.431,Q9UM73
Immunodeficiency due to interleukin-1 receptor-associated kinase-4 deficiency,1,0.737,Q9NWZ3
Sepsis,1,0.008,Q9NR20
Neck pain,1,0.257,Q9BZL6
tonsillitis,1,0.02,Q9HAZ1
uterine fibroid,1,0.419,Q9H2G2
Menorrhagia,1,0.264,Q9H2G2
Gastrointestinal hemorrhage,1,0.242,Q9H2G2
Uterine leiomyoma,1,0.192,Q9H2G2
hereditary attention deficit-hyperactivity disorder,1,0.073,Q9H2G2
cardiac hypertrophy,1,0.05,Q9HAZ1
exostosis,1,0.256,Q9HBY8
hepatitis B virus infection,1,0.018,Q9NR20
Barrett's esophagus,1,0.063,Q9HBY8
Abnormality of the face,1,0.37,Q9HCP0
bronchiectasis,1,0.219,Q9HCP0
bacteriemia,1,0.308,Q9NR20
edema,1,0.021,Q9NR20
brain compression,1,0.02,Q9NR20
congenital fibrosarcoma,1,0.377,Q16288
familial amyotrophic lateral sclerosis,1,0.559,Q15303
maturity-onset diabetes of the young type 4,1,0.053,P51817
restless legs syndrome,1,0.366,Q05397
primary ovarian insufficiency,1,0.056,P78368
Familial exudative vitreoretinopathy,1,0.05,P78368
Isolated follicle stimulating hormone deficiency,1,0.049,P78368
Kallmann syndrome,1,0.048,P78368
lissencephaly 7 with cerebellar hypoplasia,1,0.399,Q00535
lissencephaly with cerebellar hypoplasia,1,0.185,Q00535
vein disorder,1,0.329,Q05513
Testicular Germ Cell Tumor,1,0.074,P78368
Varicose veins,1,0.329,Q05513
autoimmune lymphoproliferative syndrome,1,0.667,Q05655
Moderate albuminuria,1,0.321,Q06418
"46,XX disorder of sex development",1,0.111,Q06418
lymphoproliferative syndrome 1,1,0.766,Q08881
post-traumatic stress disorder,1,0.039,Q12851
"46,XX gonadal dysgenesis",1,0.057,P78368
corneal ulcer,1,0.274,P68400
peptic ulcer disease,1,0.285,Q13131
pituitary gland disease,1,0.116,P51957
"diabetes mellitus, transient neonatal, 2",1,0.051,P51817
maturity-onset diabetes of the young type 2,1,0.047,P51817
maturity-onset diabetes of the young type 6,1,0.047,P51817
maturity-onset diabetes of the young type 3,1,0.046,P51817
total joint arthroplasty,1,0.282,P51957
ciliopathy,1,0.259,P51957
T-B+ severe combined immunodeficiency due to JAK3 deficiency,1,0.845,P52333
mouth disease,1,0.305,P68400
"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",1,0.507,P52333
biliary tract disease,1,0.195,P53778
intrahepatic cholangiocarcinoma,1,0.079,P53778
Okur-Chung neurodevelopmental syndrome,1,0.801,P68400
Neurodevelopmental delay,1,0.341,P68400
developmental disorder of mental health,1,0.34,P68400
duodenal ulcer,1,0.285,Q13131
Primary amenorrhea,1,0.118,Q13131
paralytic strabismus,1,0.134,Q14680
dystonia 27,1,0.046,Q14012
familial thoracic aortic aneurysm and aortic dissection,1,0.694,Q13976
Rare genetic vascular disease,1,0.462,Q13976
Rare disease with thoracic aortic aneurysm and aortic dissection,1,0.431,Q13976
laryngeal carcinoma,1,0.356,Q13976
bone remodeling disease,1,0.311,Q13976
pachyonychia congenita,1,0.074,Q14012
essential tremor,1,0.044,Q14012
absent or delayed speech development,1,0.51,Q13627
"Primary dystonia, DYT13 type",1,0.043,Q14012
Cranio-cervical dystonia with laryngeal and upper-limb involvement,1,0.041,Q14012
spinocerebellar ataxia type 20,1,0.041,Q14012
episodic ataxia type 1,1,0.04,Q14012
spinocerebellar ataxia type 15/16,1,0.036,Q14012
gestational diabetes,1,0.292,Q14680
Feeding difficulties,1,0.507,Q13627
Deeply set eye,1,0.51,Q13627
"intellectual developmental disorder with macrocephaly, seizures, and speech delay",1,0.711,Q13153
"intellectual disability, autosomal dominant 54",1,0.775,Q13554
drug allergy,1,0.246,Q13153
multinodular goiter,1,0.224,Q13153
benign prostatic hyperplasia,1,0.239,Q13188
familial pancreatic carcinoma,1,0.061,Q13188
acromesomelic dysplasia,1,0.667,Q13237
"spondylometaphyseal dysplasia, pagnamenta type",1,0.547,Q13237
Abnormality of the nervous system,1,0.34,Q13554
Rare genetic intellectual disability with developmental anomaly,1,0.534,Q13627
dystonic disorder,1,0.259,Q13554
intellectual developmental disorder 59,1,0.635,Q13555
Severe intellectual disability,1,0.399,Q13555
heart conduction disease,1,0.398,Q13557
artificial cardiac pacemaker,1,0.367,Q13557
DYRK1A-related intellectual disability syndrome,1,0.781,Q13627
acute tonsillitis,1,0.113,Q16512
