disease,num_targets,avg_score,top_protein
Hashimoto's thyroiditis,3,0.221,P51817
graft versus host disease,3,0.513,P23458
severe combined immunodeficiency,3,0.5,P52333
risk-taking behaviour,2,0.358,Q9Y243
Ellis-van Creveld syndrome,2,0.37,P17612
lung carcinoma,2,0.413,P08922
Ellis Van Creveld syndrome,2,0.37,P22694
knee fracture,2,0.156,Q9HBH9
autoimmune disease,2,0.504,P43403
Abnormality of limbs,2,0.393,P50750
cardiomyopathy,2,0.31,Q9UGJ0
thyroid disease,2,0.38,Q9HC98
Ischemic stroke,2,0.433,P34947
substance-related disorder,2,0.259,P05771
Increased blood pressure,2,0.342,Q9H2X6
Hepatoblastoma,2,0.229,P17612
Palmar Fibromatosis,2,0.301,P16591
trauma complication,2,0.254,Q8IU85
cellulitis,2,0.123,Q9BWU1
Jackson-Weiss syndrome,2,0.782,P21802
Wheezing,2,0.309,Q9NYL2
Glycogen storage disease due to phosphorylase kinase deficiency,2,0.583,Q9UGJ0
lymphoid neoplasm,2,0.37,P11309
Hodgkins lymphoma,2,0.432,Q08881
neoplasm of mature B-cells,2,0.44,O00329
pulmonary arterial hypertension,2,0.224,P11309
stroke,2,0.413,P34947
viral disease,2,0.053,Q9NR20
kidney failure,2,0.193,P54619
Pfeiffer syndrome,2,0.823,P21802
posterior cortical atrophy,2,0.08,Q9H4B4
depressive disorder,2,0.307,P80192
psoriasis vulgaris,2,0.516,P29597
Inguinal hernia,2,0.092,P53667
placenta praevia,2,0.232,Q13188
glomerulonephritis,2,0.237,P49137
sialolithiasis,2,0.192,P49137
joint disease,2,0.201,Q13153
Myoclonus,2,0.357,Q16566
gastric ulcer,2,0.293,Q8IU85
gastric carcinoma,2,0.344,Q13882
response to statin,2,0.141,Q15418
metabolic syndrome,2,0.522,Q9Y463
heart disease,2,0.414,P34947
tuberculosis,2,0.372,P27361
cardiac arrhythmia,2,0.323,Q05397
syndromic intellectual disability,2,0.416,P49336
pancreatic ductal adenocarcinoma,2,0.405,Q04771
retinitis pigmentosa,2,0.654,Q12866
smoking behavior,2,0.33,Q13237
kidney disease,2,0.211,O60285
ovarian dysfunction,2,0.231,Q96RG2
cervical cancer,2,0.06,Q9UEE5
interstitial lung disease,2,0.572,P22455
thyroid neoplasm,2,0.39,P29323
carpal tunnel syndrome,2,0.166,Q9HBH9
chronic kidney disease,2,0.133,P54619
Abnormality of the cardiovascular system,2,0.525,P54760
Milroy disease,2,0.582,P35916
neurofibromatosis type 1,2,0.558,Q02750
keratitis,2,0.462,Q16288
obsessive-compulsive disorder,2,0.218,Q96RR4
metastatic melanoma,2,0.55,Q02750
esophageal adenocarcinoma,2,0.373,P42684
respiratory system disease,2,0.355,Q04759
osteosarcoma,2,0.068,P42679
infection,2,0.065,Q9UBF8
partial chromosome Y deletion,2,0.071,P19784
overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes,2,0.576,P42345
Abnormal facial shape,2,0.427,P28482
hypertriglyceridemia 2,2,0.057,Q02779
skin neoplasm,2,0.231,P30291
subarachnoid hemorrhage,2,0.278,O15075
hyperinsulinism due to glucokinase deficiency,2,0.061,O15264
poisoning,2,0.307,Q14680
Combined hyperlipidemia,2,0.048,Q02779
familial hypercholesterolemia,2,0.056,Q02779
placental retention,2,0.275,Q14680
hereditary neoplastic syndrome,2,0.338,P08581
Atypical behavior,2,0.534,P28482
Hereditary breast and ovarian cancer syndrome,2,0.118,O96013
hereditary breast ovarian cancer syndrome,2,0.118,O96013
Li-Fraumeni syndrome,2,0.366,O96017
familial medullary thyroid carcinoma,2,0.685,P07949
urinary bladder cancer,2,0.714,P22607
Inherited cancer-predisposing syndrome,2,0.337,P08581
Vitiligo,2,0.288,P51813
head and neck malignant neoplasia,2,0.366,P00533
acute coronary syndrome,2,0.335,Q16539
ocular hypertension,2,0.581,Q13464
immune system disease,2,0.379,Q13464
Fuchs endothelial corneal dystrophy,2,0.359,Q13464
Fuchs' endothelial dystrophy,2,0.313,Q13464
conduction system disorder,2,0.282,P53779
mental or behavioural disorder,2,0.262,P53779
ankylosing spondylitis,2,0.296,Q16539
hypotension,2,0.256,O00311
parasitic infection,2,0.238,P53779
Facioscapulohumeral dystrophy,2,0.291,Q16539
acne,2,0.182,Q16584
epilepsy,2,0.198,P53350
bipolar I disorder,2,0.572,P49841
pathological myopia,2,0.216,O00311
HER2 Positive Breast Carcinoma,2,0.514,P04626
Epileptic encephalopathy,2,0.274,Q07912
angina pectoris,2,0.396,P07332
autosomal recessive primary microcephaly,2,0.447,Q00534
anorexia nervosa,2,0.237,Q96RR4
hyperlipidemia,2,0.288,O00141
coronary atherosclerosis,2,0.314,P07332
undetermined early-onset epileptic encephalopathy,2,0.351,Q9BWU1
oral squamous cell carcinoma,2,0.07,O43781
Myelodysplastic/Myeloproliferative Neoplasm,1,0.552,P00519
Abnormality of movement,1,0.462,Q16566
Headache,1,0.365,Q8IU85
oligodendroglioma,1,0.334,Q8IU85
urolithiasis,1,0.335,Q16512
frontotemporal dementia and/or amyotrophic lateral sclerosis 4,1,0.808,Q9UHD2
lower respiratory tract disease,1,0.269,Q9H0K1
Ataxia,1,0.463,Q16566
Herpetic encephalitis,1,0.66,Q9UHD2
autoinflammation with arthritis and vasculitis,1,0.461,Q9UHD2
Cowden syndrome 6,1,0.68,P31749
frontotemporal dementia,1,0.397,Q9UHD2
chorea,1,0.462,Q16566
malignant colon neoplasm,1,0.277,Q15759
Dystonia,1,0.463,Q16566
megalencephaly-capillary malformation-polymicrogyria syndrome,1,0.847,P42336
frontotemporal dementia with motor neuron disease,1,0.37,Q9UHD2
esophageal cancer,1,0.279,Q15759
CLOVE syndrome,1,0.795,P42336
Waldenstrom macroglobulinemia,1,0.568,Q06187
Bruton-type agammaglobulinemia,1,0.687,Q06187
Mantle cell lymphoma,1,0.691,Q06187
Non-acquired isolated growth hormone deficiency,1,0.728,Q06187
isolated growth hormone deficiency type III,1,0.728,Q06187
adult onset asthma,1,0.257,Q9H0K1
X-linked agammaglobulinemia,1,0.845,Q06187
upper respiratory tract disorder,1,0.445,Q9HC98
Pick disease,1,0.394,Q9UHD2
esophageal ulcer,1,0.239,Q9UBS0
motor neuron disease,1,0.368,Q9UHD2
cataract,1,0.199,Q9Y6M4
Hermansky-Pudlak syndrome 8,1,0.497,Q96L34
brain malformation renal syndrome,1,0.362,Q96L34
listeriosis,1,0.567,P08581
hereditary papillary renal cell carcinoma,1,0.767,P08581
breast disease,1,0.228,Q9Y4K4
fibroblastic disorder,1,0.205,Q9Y4K4
papillary renal cell carcinoma,1,0.842,P08581
smoking cessation,1,0.118,O75676
hereditary spastic paraplegia 3A,1,0.179,Q9Y4K4
burn,1,0.222,Q9Y6M4
