disease,num_targets,avg_score
maturity-onset diabetes of the young type 3,1,0.046
total joint arthroplasty,1,0.282
ciliopathy,1,0.259
T-B+ severe combined immunodeficiency due to JAK3 deficiency,1,0.845
mouth disease,1,0.305
"severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-positive",1,0.507
biliary tract disease,1,0.195
intrahepatic cholangiocarcinoma,1,0.079
Okur-Chung neurodevelopmental syndrome,1,0.801
Neurodevelopmental delay,1,0.341
developmental disorder of mental health,1,0.34
duodenal ulcer,1,0.285
Primary amenorrhea,1,0.118
paralytic strabismus,1,0.134
dystonia 27,1,0.046
familial thoracic aortic aneurysm and aortic dissection,1,0.694
Rare genetic vascular disease,1,0.462
Rare disease with thoracic aortic aneurysm and aortic dissection,1,0.431
laryngeal carcinoma,1,0.356
bone remodeling disease,1,0.311
pachyonychia congenita,1,0.074
essential tremor,1,0.044
absent or delayed speech development,1,0.51
"Primary dystonia, DYT13 type",1,0.043
Cranio-cervical dystonia with laryngeal and upper-limb involvement,1,0.041
spinocerebellar ataxia type 20,1,0.041
episodic ataxia type 1,1,0.04
spinocerebellar ataxia type 15/16,1,0.036
gestational diabetes,1,0.292
Feeding difficulties,1,0.507
Deeply set eye,1,0.51
"intellectual developmental disorder with macrocephaly, seizures, and speech delay",1,0.711
"intellectual disability, autosomal dominant 54",1,0.775
drug allergy,1,0.246
multinodular goiter,1,0.224
benign prostatic hyperplasia,1,0.239
familial pancreatic carcinoma,1,0.061
acromesomelic dysplasia,1,0.667
"spondylometaphyseal dysplasia, pagnamenta type",1,0.547
Abnormality of the nervous system,1,0.34
Rare genetic intellectual disability with developmental anomaly,1,0.534
dystonic disorder,1,0.259
intellectual developmental disorder 59,1,0.635
Severe intellectual disability,1,0.399
heart conduction disease,1,0.398
artificial cardiac pacemaker,1,0.367
DYRK1A-related intellectual disability syndrome,1,0.781
acute tonsillitis,1,0.113
