disease,num_targets,avg_score
cardiac arrhythmia,2,0.323
syndromic intellectual disability,2,0.416
pancreatic ductal adenocarcinoma,2,0.405
retinitis pigmentosa,2,0.654
smoking behavior,2,0.33
kidney disease,2,0.211
ovarian dysfunction,2,0.231
cervical cancer,2,0.06
interstitial lung disease,2,0.572
thyroid neoplasm,2,0.39
carpal tunnel syndrome,2,0.166
chronic kidney disease,2,0.133
Abnormality of the cardiovascular system,2,0.525
Milroy disease,2,0.582
neurofibromatosis type 1,2,0.558
keratitis,2,0.462
obsessive-compulsive disorder,2,0.218
metastatic melanoma,2,0.55
esophageal adenocarcinoma,2,0.373
respiratory system disease,2,0.355
osteosarcoma,2,0.068
infection,2,0.065
partial chromosome Y deletion,2,0.071
overgrowth syndrome and/or cerebral malformations due to abnormalities in MTOR pathway genes,2,0.576
Abnormal facial shape,2,0.427
hypertriglyceridemia 2,2,0.057
skin neoplasm,2,0.231
subarachnoid hemorrhage,2,0.278
hyperinsulinism due to glucokinase deficiency,2,0.061
poisoning,2,0.307
Combined hyperlipidemia,2,0.048
familial hypercholesterolemia,2,0.056
placental retention,2,0.275
hereditary neoplastic syndrome,2,0.338
Atypical behavior,2,0.534
Hereditary breast and ovarian cancer syndrome,2,0.118
hereditary breast ovarian cancer syndrome,2,0.118
Li-Fraumeni syndrome,2,0.366
familial medullary thyroid carcinoma,2,0.685
urinary bladder cancer,2,0.714
Inherited cancer-predisposing syndrome,2,0.337
Vitiligo,2,0.288
head and neck malignant neoplasia,2,0.366
acute coronary syndrome,2,0.335
ocular hypertension,2,0.581
immune system disease,2,0.379
Fuchs endothelial corneal dystrophy,2,0.359
Fuchs' endothelial dystrophy,2,0.313
conduction system disorder,2,0.282
mental or behavioural disorder,2,0.262
ankylosing spondylitis,2,0.296
hypotension,2,0.256
parasitic infection,2,0.238
Facioscapulohumeral dystrophy,2,0.291
acne,2,0.182
epilepsy,2,0.198
bipolar I disorder,2,0.572
pathological myopia,2,0.216
HER2 Positive Breast Carcinoma,2,0.514
Epileptic encephalopathy,2,0.274
angina pectoris,2,0.396
autosomal recessive primary microcephaly,2,0.447
anorexia nervosa,2,0.237
hyperlipidemia,2,0.288
coronary atherosclerosis,2,0.314
undetermined early-onset epileptic encephalopathy,2,0.351
oral squamous cell carcinoma,2,0.07
Myelodysplastic/Myeloproliferative Neoplasm,1,0.552
Abnormality of movement,1,0.462
Headache,1,0.365
oligodendroglioma,1,0.334
urolithiasis,1,0.335
frontotemporal dementia and/or amyotrophic lateral sclerosis 4,1,0.808
lower respiratory tract disease,1,0.269
Ataxia,1,0.463
Herpetic encephalitis,1,0.66
autoinflammation with arthritis and vasculitis,1,0.461
Cowden syndrome 6,1,0.68
frontotemporal dementia,1,0.397
chorea,1,0.462
malignant colon neoplasm,1,0.277
Dystonia,1,0.463
megalencephaly-capillary malformation-polymicrogyria syndrome,1,0.847
frontotemporal dementia with motor neuron disease,1,0.37
esophageal cancer,1,0.279
CLOVE syndrome,1,0.795
Waldenstrom macroglobulinemia,1,0.568
Bruton-type agammaglobulinemia,1,0.687
Mantle cell lymphoma,1,0.691
Non-acquired isolated growth hormone deficiency,1,0.728
isolated growth hormone deficiency type III,1,0.728
adult onset asthma,1,0.257
X-linked agammaglobulinemia,1,0.845
upper respiratory tract disorder,1,0.445
Pick disease,1,0.394
esophageal ulcer,1,0.239
