SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
CC(C)[C@H](N)C(=O)O,117.15,0.05,63.32,2.0,2.0,2.0,0
O=C(O)CN(CCN(CC(=O)O)CC(=O)O)CC(=O)O,292.24,-2.07,155.68,4.0,6.0,11.0,0
CC(CN1CCOCC1)C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1,392.54,3.56,32.78,0.0,3.0,6.0,0
Oc1nc(O)c2cn[nH]c2n1,152.11,-0.24,94.92,3.0,5.0,0.0,0
CC(C)c1cccc(C(C)C)c1NC(=O)NCC1(c2ccc(N(C)C)cc2)CCCC1,421.63,6.63,44.37,2.0,2.0,7.0,0
CCC(=O)C1(c2cccc(O)c2)CCN(C)CC1,247.34,2.33,40.54,1.0,3.0,3.0,0
Cc1csc(Cl)c1NC1=NCCN1,215.71,2.08,36.42,2.0,4.0,1.0,0
CCCCCCCCCCCCCCCCCC(=O)O,284.48,6.33,37.3,1.0,1.0,16.0,0
O=C1NCN(c2ccccc2)C12CCN(CCCC(c1ccc(F)cc1)c1ccc(F)cc1)CC2,475.58,5.31,35.58,1.0,3.0,7.0,0
CNCCC(Oc1ccccc1OC)c1ccccc1,271.36,3.42,30.49,1.0,3.0,7.0,0
Cc1nc(N)nc(N)c1-c1ccc(Cl)c(Cl)c1,269.13,2.92,77.82,2.0,4.0,1.0,0
CN1CCC(=C2c3ccccc3Oc3ccc(Cl)cc32)CC1,311.81,4.97,12.47,0.0,2.0,0.0,0
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,368.52,5.11,6.48,0.0,2.0,6.0,0
C[C@@H]1CN(c2c(F)c(F)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,395.38,2.64,74.57,2.0,5.0,3.0,0
COc1ccc2c(c1)c(CC(=O)NO)c(C)n2C(=O)c1ccc(Cl)cc1,372.81,3.35,80.56,2.0,5.0,4.0,0
Cc1ccc(CNCC2(F)CCN(C(=O)c3ccc(F)c(Cl)c3)CC2)nc1,393.87,3.92,45.23,1.0,3.0,5.0,0
CNC(C)Cc1ccc2c(c1)OCO2,193.25,1.57,30.49,1.0,3.0,3.0,0
CNC(=O)Nc1c(OCCN2CCCC2)c(OC)c2occc2c1OC,363.41,2.68,85.2,2.0,6.0,7.0,0
O=C1c2c(O)cccc2Cc2cccc(O)c21,226.23,2.23,57.53,2.0,3.0,0.0,0
OC1(c2ccc(Cl)c(C(F)(F)F)c2)CCN(CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,523.97,7.53,23.47,1.0,2.0,7.0,0
CC1CC(=O)NN=C1c1ccc2c(c1)OCC(=O)N2,259.26,0.88,79.79,2.0,4.0,1.0,0
Cc1cccc(O)c1,108.14,1.7,20.23,1.0,1.0,0.0,0
Cc1ccccc1O,108.14,1.7,20.23,1.0,1.0,0.0,0
c1ccc2c(c1)ccc1ccccc12,178.23,3.99,0.0,0.0,0.0,0.0,0
COC(=O)[C@H](Cc1cccc(C(=N)N)c1)[C@@H](C)NC(=O)c1ccc(-c2cc[n+]([O-])cc2)cc1,446.51,2.42,132.21,3.0,5.0,8.0,0
C[S+](C)CC[C@H](N)C(=O)O,164.25,-0.33,63.32,2.0,2.0,4.0,0
COc1c2occc2c(OC)c2c(=O)cc(CSC)oc12,306.34,3.42,61.81,0.0,6.0,4.0,0
COc1c2occc2c(OC)c2c(=O)cc(C)oc12,260.24,2.86,61.81,0.0,5.0,2.0,0
CCCl,64.52,1.25,0.0,0.0,0.0,0.0,0
ClCCl,84.93,1.42,0.0,0.0,0.0,0.0,0
CCCCCl,92.57,2.03,0.0,0.0,0.0,2.0,0
ClC(Cl)(Cl)Cl,153.82,2.55,0.0,0.0,0.0,0.0,0
CNC(=O)Nc1c(OCCN2CCCCC2)c(OC)c2occc2c1OC,377.44,3.07,85.2,2.0,6.0,7.0,0
CS(=O)(=O)O.CS(=O)(=O)O.C[C@H](CNCCNC[C@@H](C)N1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O)N1C(=O)c2cccc3cc([N+](=O)[O-])cc(c23)C1=O,624.61,3.66,185.1,2.0,10.0,11.0,0
O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,458.38,2.23,197.37,8.0,11.0,3.0,0
CCC(C)(C)O,88.15,1.17,20.23,1.0,1.0,1.0,0
CO[C@H]1CCC[C@H]2C1=C(C(=O)[O-])N1C(=O)[C@H]([C@@H](C)O)[C@@H]21.[Na+],281.31,0.36,87.07,2.0,4.0,3.0,0
COC(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c1ccc(C)cc1,342.42,0.08,134.37,4.0,5.0,8.0,0
O=C(/C=C/c1c(C(=O)O)[nH]c2cc(Cl)cc(Cl)c12)Nc1ccccc1,375.21,4.82,82.19,3.0,2.0,4.0,0
CCOC(=O)c1ncn2c1CN(C)C(=O)c1c(Cl)cccc1-2,319.75,2.29,64.43,0.0,5.0,2.0,0
O=C(Cn1ccnc1[N+](=O)[O-])NCCO,214.18,-1.1,110.29,2.0,6.0,5.0,0
C[C@H](C[C@@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)CCC(=O)O)C(=O)O,383.44,3.36,103.7,3.0,3.0,10.0,0
CC(=O)NC[C@H]1CN(c2ccc(N3CCN(C(=O)CO)CC3)c(F)c2)C(=O)O1,394.4,-0.07,102.42,2.0,6.0,5.0,0
O=C(O)CCCCCc1cccc2cncn12,232.28,2.52,54.6,1.0,3.0,6.0,0
CCN(CC)CCOc1ccc2c(c1)C(=O)c1cc(OCCN(CC)CC)ccc1-2,410.56,4.34,42.01,0.0,5.0,12.0,0
COc1ccc(N2C[C@H](CN3CCC(O)(c4ccc5c(c4)OCO5)CC3)OC2=O)cc1,426.47,2.73,80.7,1.0,7.0,5.0,0
CN1CCN(c2c(F)cc3c(=O)c(C(=O)O)cn4c3c2SCC4)CC1,363.41,1.7,65.78,1.0,6.0,2.0,0
O=C(Nc1ccncc1)C(=O)c1cn(Cc2ccc(Cl)cc2)c2ccccc12,389.84,4.56,63.99,1.0,4.0,5.0,0
NCCCCN,88.15,-0.32,52.04,2.0,2.0,3.0,0
CC(=O)OCC(=O)NCCCOc1cccc(CN2CCCCC2)c1,348.44,2.12,67.87,1.0,5.0,9.0,0
CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,380.54,3.66,80.05,2.0,7.0,5.0,0
Nc1ccc(S(=O)(=O)c2ccc(NCC(=O)O)cc2)cc1,306.34,1.6,109.49,3.0,5.0,5.0,0
CC[C@H]1C(=O)Nc2ccc(F)cc2N1C(=O)OC(C)C,280.3,2.91,58.64,1.0,3.0,2.0,0
Cc1ccc(F)cc1C(=O)Nc1ccc(C(=O)N2Cc3cccn3Cc3ccccc32)c(Cl)c1,473.94,6.05,54.34,1.0,3.0,3.0,0
O=C1c2ccccc2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21,412.49,0.45,122.72,6.0,8.0,12.0,0
Cc1ccc(C#Cc2ccc(S(=O)(=O)N[C@H](Cc3c[nH]c4ccccc34)C(=O)O)s2)cc1,464.57,3.91,99.26,3.0,4.0,6.0,0
COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,302.41,3.62,49.69,2.0,3.0,1.0,0
CC1(C)Oc2ccc(C#N)cc2C(N2CCCC2=O)C1O,286.33,1.75,73.56,1.0,4.0,1.0,0
COc1ccc(C[C@H](NC(=O)CC(C)(C)N)C(=O)N[C@@H](Cc2c[nH]cn2)C(=O)N[C@@H](CC2CCCCC2)[C@@H](O)[C@@H](O)CC(C)C)cc1,656.87,2.52,191.69,7.0,8.0,18.0,0
O=C(N[C@H]1N=C(c2ccccc2F)c2cccc3c2N(CC3)C1=O)c1cc2ccccc2[nH]1,438.46,3.8,77.56,2.0,3.0,3.0,0
Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)[O-].[Na+],375.37,5.85,50.19,1.0,2.0,3.0,0
CC[n+]1c(-c2ccccc2)c2cc(N)ccc2c2ccc(N)cc21,314.41,4.13,55.92,2.0,2.0,2.0,0
CC(O)(CC(=O)O)CC(=O)O,162.14,-0.31,94.83,3.0,3.0,4.0,0
CC(C)(C)NCC(O)c1cc(Cl)c(N)c(Cl)c1,277.19,3.0,58.28,3.0,3.0,3.0,0
COc1ccc2c(c1)OC(C)(C)[C@@H](c1ccccc1)[C@@H]2c1ccc(OCCN2CCCC2)cc1,457.61,6.26,30.93,0.0,4.0,7.0,0
CCN(CC)CCOc1ccc(Nc2ncc3cc(-c4c(Cl)cccc4Cl)c(=O)n(C)c3n2)cc1,512.44,5.77,72.28,1.0,7.0,9.0,0
Cn1c(CNc2ccc(C(=N)N)cc2)nc2cc(C(=O)N(CCC(=O)O)c3ccccn3)ccc21,471.52,2.99,150.22,4.0,7.0,9.0,0
CNC(=O)c1cccc2c(Nc3ccc(NS(C)(=O)=O)cc3OC)c3cccc(C)c3nc12,464.55,4.18,109.42,3.0,6.0,6.0,0
C[S+]([O-])CCCCN=C=S,177.29,1.25,35.42,0.0,3.0,5.0,0
CC(O)(CC(=O)O)C1CCCCC1,186.25,1.79,57.53,2.0,2.0,3.0,0
O=P(O)(NCCCl)NCCCl,221.02,0.74,61.36,3.0,1.0,6.0,0
CNC(=O)[C@H]1O[C@@H](n2cnc3c(NCc4cccc(I)c4)nc(Cl)nc32)[C@H](O)[C@@H]1O,544.74,1.06,134.42,4.0,9.0,5.0,0
CCCn1c(=O)c2nc(C34CC5CC(CC3C5)C4)[nH]c2n(CCC)c1=O,356.47,2.78,72.68,1.0,5.0,5.0,0
O=C(O)c1ccc(C(F)(F)F)cc1-c1ccc2c(c1)OC[C@H](Cc1ccccc1)[C@H]2O,428.41,5.36,66.76,2.0,3.0,4.0,0
COc1ccc2[nH]c(SCc3ncc(C)c(OC)c3C)nc2c1,329.43,3.88,60.03,1.0,5.0,5.0,0
CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,685.9,1.47,223.26,8.0,8.0,22.0,0
Cn1c([N+](=O)[O-])cnc1C(O)c1cc(C(C)(C)C)ccc1O,305.33,2.41,101.42,2.0,6.0,3.0,0
Clc1ccc(OCC2=NCCN2)cc1Cl,245.11,2.37,33.62,1.0,3.0,3.0,0
O=C(/C=C/c1c(-c2ccccc2)nn2ccccc12)N1CCCC[C@@H]1CCO,375.47,3.78,57.84,1.0,4.0,5.0,0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)C[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)CC)[C@H]2O)[C@@]2(C)CC(C)=C(O2)[C@H](C)[C@@H](O)[C@H]1C,697.95,5.2,125.38,2.0,11.0,8.0,0
O=C1CCC2CCC(=O)N12,139.15,0.3,37.38,0.0,2.0,0.0,0
Nc1n[n+]([O-])c2ccccc2[n+]1[O-],178.15,-0.92,92.79,1.0,4.0,0.0,0
Cc1cc2c(C(C)C)c(O)c(O)c(C=O)c2c(O)c1-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,518.56,6.38,155.52,6.0,8.0,5.0,0
O=C(O)c1cc(=O)c2ccccc2[nH]1,189.17,1.23,70.16,2.0,2.0,1.0,0
NCC(O)c1ccc(O)cc1,153.18,0.38,66.48,3.0,3.0,2.0,0
COc1ccc(CCN(C)CCCC(C#N)(c2cc(OC)c(OC)c(OC)c2)C(C)C)cc1OC,484.64,5.1,73.18,0.0,7.0,14.0,0
Nc1cc(N2CCCCC2)nc(N)[n+]1OS(=O)(=O)[O-],289.32,-1.59,138.48,2.0,8.0,3.0,0
COC1=C(C)C(=O)C2=C(C1=O)[C@@H](COC(N)=O)[C@@]1(OC)[C@H]3N[C@H]3CN21,349.34,-0.96,130.1,2.0,8.0,4.0,0
Cc1ccccc1-n1c(/C=C/c2ccccn2)nc2ccccc2c1=O,339.4,4.26,47.78,0.0,4.0,3.0,0
OC1CCCc2nc3ccccc3c(NCc3ccccc3)c21,304.39,4.22,45.15,2.0,3.0,3.0,0
c1ccc(C(CCN2CCCCC2)c2ccccc2)cc1,279.43,4.69,3.24,0.0,1.0,5.0,0
O=NN(CCCl)C(=O)NCCSSCCNC(=O)N(CCCl)N=O,421.33,2.23,123.54,2.0,8.0,13.0,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1.[Br-],223.3,1.94,29.54,0.0,2.0,2.0,0
Nc1c2c(nc3ccccc13)CCCC2O,214.27,2.19,59.14,2.0,3.0,0.0,0
Cc1nccn1CCC(C(N)=O)(c1ccccc1)c1ccccc1,319.41,3.05,60.91,1.0,3.0,6.0,0
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(Cl)cc32)CC1,400.98,4.24,26.71,1.0,4.0,5.0,0
CNC1CC(c2ccc(Cl)c(Cl)c2)c2ccccc21,292.21,4.79,12.03,1.0,1.0,2.0,0
COc1cccc(CCc2ccccc2OCC(CN(C)C)OC(=O)CCC(=O)O)c1,429.51,3.2,85.3,1.0,6.0,13.0,0
CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(CCO)CC4)ccc3OCC)nc12,504.61,0.97,133.65,2.0,9.0,9.0,0
CCN(CC)CCCN1c2ccccc2Sc2ccc(Cl)cc21,346.93,5.67,6.48,0.0,3.0,6.0,0
CNCCCC1(c2ccccc2)SC(C)(C)c2ccccc21,311.49,4.91,12.03,1.0,2.0,5.0,0
CNCCCC1(c2ccccc2)OC(C)(C)c2ccccc21,295.43,4.2,21.26,1.0,2.0,5.0,0
Fc1ccc2[nH]c3c(c2c1)CN(CCCc1cccnc1)CC3,309.39,3.69,31.92,1.0,2.0,4.0,0
Fc1ccc2[nH]c3c(c2c1)CN(CCc1ccncc1)CC3,295.36,3.3,31.92,1.0,2.0,3.0,0
O=C(O)CP(=O)(O)O,140.03,-0.75,94.83,3.0,2.0,2.0,0
NC[C@H](CC(=O)O)c1ccc(Cl)cc1,213.66,1.86,63.32,2.0,2.0,4.0,0
CO[C@@H]1[C@@H](O)[C@H](C)[C@@](O)(CC(=O)[O-])O[C@H]1[C@H](C)[C@H]1O[C@@]2(CC[C@@](C)([C@H]3CC[C@@](C)([C@@H]4O[C@@H]([C@H]5O[C@](C)(O)[C@H](C)C[C@@H]5C)C[C@@H]4O[C@H]4CC[C@H](OC)[C@@H](C)O4)O3)O2)C[C@H](O)[C@H]1C.[Na+],873.09,4.04,210.52,5.0,15.0,11.0,0
O=C/C=C/c1ccccc1,132.16,1.9,17.07,0.0,1.0,2.0,0
Cn1cc(C2=C(c3cn(C)c4cc([N+](=O)[O-])ccc34)C(=O)NC2=O)c2ccccc21,400.39,3.15,99.17,1.0,6.0,3.0,0
CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,467.49,1.37,207.3,5.0,9.0,10.0,0
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,242.23,-1.51,104.55,3.0,6.0,2.0,0
C[N+](C)(C)CCO,104.17,-0.32,20.23,1.0,1.0,2.0,0
Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,515.62,4.93,72.16,1.0,6.0,5.0,0
Cc1oc(-c2ccccc2)nc1CCC(=O)c1ccc(CC2SC(=O)NC2=O)cc1,420.49,4.36,89.27,1.0,6.0,7.0,0
NCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,277.15,-0.49,161.31,6.0,4.0,7.0,0
CN(C)CCC(O)(P(=O)(O)O)P(=O)(O)O,263.12,-1.06,138.53,5.0,4.0,5.0,0
O=P(O)(O)C(NC1CCCCCC1)P(=O)(O)O,287.19,0.94,127.09,5.0,3.0,4.0,0
C[C@H]1[C@H]2Cc3ccc(O)cc3[C@]1(C)CCN2CC1CC1,271.4,3.33,23.47,1.0,2.0,2.0,0
C=C[C@@]1(C)CC(=O)[C@]2(O)[C@@]3(C)[C@@H](O)CCC(C)(C)[C@@H]3[C@H](O)[C@H](OC(C)=O)[C@@]2(C)O1,410.51,1.52,113.29,3.0,7.0,2.0,0
N[C@@H](Cc1ccccc1)C(=O)O,165.19,0.64,63.32,2.0,2.0,3.0,0
C[C@@H](c1nc(-c2ccc(C#N)cc2)cs1)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,437.48,4.24,87.62,1.0,7.0,6.0,0
CC(C)C[C@H](N)C(=O)O,131.17,0.44,63.32,2.0,2.0,3.0,0
O=C(O)[C@@H]1CCCN1,115.13,-0.18,49.33,2.0,2.0,1.0,0
NCCC[C@H](N)C(=O)O,132.16,-0.86,89.34,3.0,3.0,4.0,0
CCCC[C@H](N)C(=O)O,131.18,0.59,63.32,2.0,2.0,4.0,0
CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21,390.52,3.95,72.83,1.0,5.0,6.0,0
CC(C)=CCOc1cc(NC(=S)c2ccoc2C)ccc1Cl,335.86,5.37,34.4,1.0,3.0,5.0,0
NC(=O)C[C@H](N)C(=O)O,132.12,-1.73,106.41,3.0,3.0,3.0,0
CCOC(=O)[C@@H](N)Cc1ccc(O)cc1,209.25,0.83,72.55,2.0,4.0,4.0,0
C[C@@H](n1cnc2cc(Cl)ccc2c1=O)[C@](O)(Cn1cncn1)c1ccc(F)cc1F,431.83,3.07,85.83,1.0,7.0,5.0,0
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)cc1F,262.19,-2.71,124.78,4.0,7.0,2.0,0
Cc1cc(/C=C/c2ccc(F)cc2)cc(C)c1O,242.29,4.32,20.23,1.0,1.0,2.0,0
CC1CCCC(C)N1CCCC(O)(c1ccccc1)c1ccccn1,338.5,4.36,36.36,1.0,3.0,6.0,0
CC1(C)Cc2c(-c3ccccc3)c(-c3ccc(Cl)cc3)c(CC(=O)O)n2C1,379.89,5.68,42.23,1.0,2.0,4.0,0
OC(CCCN1CCc2c(c3cc(F)ccc3n2-c2ccc(F)cc2)C1)c1ccc(F)cc1,450.5,5.92,28.4,1.0,3.0,6.0,0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1SC,306.39,1.97,96.28,2.0,7.0,5.0,0
COc1cc(Cc2cnc(N)nc2N)cc(OC)c1N(C)C,303.37,1.32,99.52,2.0,7.0,5.0,0
CCOc1nc2cccc(C(=O)O)c2n1Cc1ccc(-c2ccccc2-c2noc(=O)[nH]2)cc1,456.46,4.19,123.24,2.0,7.0,7.0,0
CC(C)(N)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccccc1)C(=O)N[C@@H](CCCCN)C(N)=O,711.87,0.88,240.21,8.0,8.0,19.0,0
CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccccc3CC[C@@H]21,313.83,3.98,23.47,1.0,2.0,0.0,0
Nc1ccc2cc3ccc(N)cc3nc2c1,209.25,2.55,64.93,2.0,3.0,0.0,0
CCO[C@H]1O[C@@H]2O[C@@]3(C)CC[C@H]4[C@H](C)CC[C@@H]([C@H]1C)[C@@]24OO3,312.41,3.23,46.15,0.0,5.0,2.0,0
CCCNCC(O)COc1ccc2c(=O)cc(-c3ccccc3)oc2c1,353.42,3.2,71.7,2.0,5.0,8.0,0
c1ccc(Cn2c(N3CCNCC3)nc3ccccc32)cc1,292.39,2.49,33.09,1.0,4.0,3.0,0
CN1[C@@H]2CC[C@H]1C[C@@H](OC(=O)c1c[nH]c3ccccc13)C2,284.36,2.95,45.33,1.0,3.0,2.0,0
COc1cc2cc(c1Cl)N(C)C(=O)C[C@H](OC(=O)[C@H](C)N(C)C(C)=O)[C@]1(C)O[C@H]1[C@H](C)[C@@H]1C[C@@](O)(NC(=O)O1)[C@H](OC)/C=C/C=C(\C)C2,692.21,3.53,156.47,2.0,10.0,5.0,0
C=CCn1c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2nc(N)[nH]c(=O)c21,339.31,-2.73,168.62,5.0,10.0,4.0,0
COc1ccc(OCCCN(C)CCOc2ccc3c(c2)OCO3)c([C@H]2Sc3ccccc3N(C)C2=O)c1,536.65,5.01,69.7,0.0,8.0,11.0,0
Oc1ccc(Cl)cc1,128.56,2.05,20.23,1.0,1.0,0.0,0
Fc1ccc(-c2ccc(CN3CCN(c4cccc5ccoc45)CC3)[nH]2)cc1,375.45,4.89,35.41,1.0,3.0,4.0,0
CCOP(=O)(OCC)OP(=O)(OCC)OCC,290.19,3.37,80.29,0.0,7.0,10.0,0
Cc1oc(-c2ccccc2)nc1CCOc1ccc(CC2C(=O)NOC2=O)cc1,392.41,3.02,90.66,1.0,6.0,7.0,0
COc1ccccc1N1CCN(CCCC(=O)c2ccc(F)cc2)CC1,356.44,3.62,32.78,0.0,4.0,7.0,0
CCN(CC)CCCCCCNc1cc(OC)cc2c(C)ccnc12,343.52,4.87,37.39,1.0,4.0,11.0,0
C[C@@H](O)[C@H](N)C(=O)O,119.12,-1.22,83.55,3.0,3.0,2.0,0
Fc1ccc(Cn2c(NC3CCNCC3)nc3ccccc32)cc1,324.4,3.39,41.88,2.0,4.0,4.0,0
O=[N+]([O-])c1nccn1CC(O)CN1CCCCC1,254.29,0.64,84.43,1.0,6.0,5.0,0
CC(C)(C)[C@H]1CC[C@H](CC2=C(O)C(=O)c3ccccc3C2=O)CC1,326.44,5.12,54.37,1.0,3.0,2.0,0
CC(C)=CCN1Cc2c(Cl)ccc3[nH]c(=S)n(c23)C[C@@H]1C,321.88,4.52,23.96,1.0,3.0,2.0,0
Nc1sc2c(c1C(=O)c1ccc(Cl)cc1)CCCC2,291.8,4.09,43.09,1.0,3.0,2.0,0
N=C(NCCCc1c[nH]cn1)NCCC(c1ccc(F)cc1)c1ccccn1,380.47,3.21,89.48,4.0,3.0,9.0,0
CC(C#Cc1cccc(Oc2ccc(F)cc2)c1)N(O)C(N)=O,314.32,3.13,75.79,2.0,3.0,3.0,0
CCc1[nH]c(=O)[nH]c1C(=O)c1ccncc1,217.23,0.89,78.61,2.0,3.0,3.0,0
CC(=O)N1N=C(c2ccc(N)cc2)c2cc3c(cc2C[C@H]1C)OCO3,337.38,2.54,77.15,1.0,5.0,1.0,0
CCN(CC)CCOc1ccc(/C(=C(/Cl)c2ccccc2)c2ccccc2)cc1,405.97,6.56,12.47,0.0,2.0,9.0,0
O=C1NCN(c2ccccc2)C12CCN(CC1COc3ccccc3O1)CC2,379.46,2.25,54.04,1.0,5.0,3.0,0
CCN(CC)CCOC(=O)C1(c2ccccc2)CCCC1,289.42,3.38,29.54,0.0,3.0,7.0,0
CCC1(C2=NCCN2)Cc2ccccc2O1,216.28,1.77,33.62,1.0,3.0,2.0,0
C[C@H](C#Cc1ccc(Cc2ccc(F)cc2)s1)N(O)C(N)=O,318.37,2.99,66.56,2.0,3.0,3.0,0
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,202.55,2.16,86.28,0.0,4.0,2.0,0
O=C1C=C2C=C[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31,217.27,1.41,29.54,0.0,3.0,0.0,0
CCN(CC)C(=S)S,149.28,1.54,3.24,1.0,1.0,2.0,0
CCOc1cc(N)c(Cl)cc1C(=O)NCC1CN(Cc2ccc(F)cc2)CCO1,421.9,3.09,76.82,2.0,5.0,7.0,0
COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)C)cn2)nc(-c2ccnc(-c3nnn[nH]3)c2)nc1OCCO,605.64,3.21,200.11,3.0,13.0,12.0,0
O=C(O)CN1C[C@@H](c2cccs2)SC[C@H](N[C@@H](CCc2ccccc2)C(=O)O)C1=O,448.57,2.49,106.94,3.0,6.0,9.0,0
CC(CO)(CO)NCc1cc2c3ccccc3ccc2c2ccccc12,345.44,3.98,52.49,3.0,3.0,5.0,0
COc1cccc([C@@H](C)NCCCc2ccccc2Cl)c1,303.83,4.63,21.26,1.0,2.0,7.0,0
CN(C)CCOC(=O)COc1ccc(Cl)cc1,257.72,1.82,38.77,0.0,4.0,6.0,0
CN1C(=O)C(O)N=C(c2ccccc2F)c2cc(Cl)ccc21,318.74,2.61,52.9,1.0,3.0,1.0,0
Fc1ccc(-n2cc(CCCCN3CCC4(CC3)OCc3ccccc34)c3ccccc32)cc1,454.59,6.61,17.4,0.0,3.0,6.0,0
CC(=O)c1cc2c(o1)C(=O)c1ccccc1C2=O,240.21,2.26,64.35,0.0,4.0,1.0,0
CSC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)N1CCOCC1)C(=O)N[C@@H](CC1CCCCC1)[C@@H](O)C(=O)OC(C)C,620.81,2.26,146.3,4.0,8.0,14.0,0
O=P1(N(CCCl)CCCl)NC(SCCS(=O)(=O)O)CCO1,401.27,1.83,95.94,2.0,5.0,9.0,0
O=C1C(O)N=C(c2ccccc2F)c2cc(Cl)ccc2N1CCO,348.76,1.97,73.13,2.0,4.0,3.0,0
O=C(O)CN1C(=O)c2cccc3cccc(c23)C1=O,255.23,1.52,74.68,1.0,3.0,2.0,0
CN1CCN(C2Cc3ccccc3Sc3ccc(Cl)cc32)CC1,344.91,4.34,6.48,0.0,3.0,1.0,0
O=P1(N(CCCl)CCCl)NC(OO)CCO1,293.09,1.7,71.03,2.0,4.0,6.0,0
O=C(O)c1cccnc1Nc1cccc(C(F)(F)F)c1,282.22,3.54,62.22,2.0,3.0,3.0,0
CC(C)c1ccc(C(=O)N=C(N)N)cc1S(C)(=O)=O,283.35,0.63,115.61,2.0,3.0,3.0,0
COCc1cccc(C[C@H](O)/C=C/[C@H]2[C@H](O)CC(=O)[C@@H]2CCSCCCC(=O)OC)c1,450.6,2.94,93.06,2.0,7.0,13.0,0
Cc1cc(-n2cccc2)c(S(C)(=O)=O)cc1C(=O)N=C(N)N,320.37,0.6,120.54,2.0,4.0,3.0,0
CCCCc1nc(Cl)c(C(=O)O)n1Cc1ccc2oc(-c3ccccc3-c3nnn[nH]3)c(Br)c2c1,555.82,5.98,122.72,2.0,7.0,8.0,0
CCc1nc(C2CC2)c(C(N)=O)n1Cc1ccc2oc(-c3ccccc3NS(=O)(=O)C(F)(F)F)c(Br)c2c1,611.44,5.91,120.22,2.0,6.0,8.0,0
CCOC(=O)CCNC(=O)N[C@H]1CCN(c2ccc(C(=N)N)cc2)C1=O,361.4,0.33,137.61,4.0,5.0,7.0,0
O=C(C1CCCCC1)N1CC(=O)N2CCCc3ccccc3C2C1,326.44,2.93,40.62,0.0,2.0,1.0,0
CCOC(=O)[C@H]1O[C@@H]1C(=O)N[C@@H](CC(C)C)C(=O)NCCC(C)C,342.44,1.01,97.03,2.0,5.0,10.0,0
O=C(C(c1ccccc1)c1ccccc1)N1CCN(CC(O)COc2cccc3ncccc23)CC1,481.6,3.95,65.9,1.0,5.0,8.0,0
O=[N+]([O-])c1cncn1CCN1CCOCC1,226.24,0.12,73.43,0.0,6.0,4.0,0
Cc1ccc(NC2=NCCN2)c(Cl)c1,209.68,2.02,36.42,2.0,3.0,1.0,0
O=[N+]([O-])c1ccc(Oc2ccc(N=C=S)cc2)cc1,272.29,4.12,64.73,0.0,5.0,4.0,0
