SMILES,MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ncccn2)CC1,401.49,1.22,86.71,0.0,7.0,6.0,0
O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,270.24,2.58,90.9,3.0,5.0,1.0,0
O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,302.24,1.99,131.36,5.0,7.0,1.0,0
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,395.43,2.42,75.17,1.0,5.0,5.0,0
O=C(O)COc1ccc(CCNS(=O)(=O)c2ccccc2)cc1,335.38,1.67,92.7,2.0,4.0,8.0,0
CC1=NN(CCOc2ccc3ccccc3c2)C(=O)C1,268.32,2.83,41.9,0.0,3.0,4.0,0
CSCCC(N)C(=O)O,149.22,0.15,63.32,2.0,3.0,4.0,0
CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc(c43)[C@@H]2C1,361.53,4.84,23.47,1.0,2.0,0.0,0
CCCCCCCC/C=C\CCCCCCCC(=O)O,282.47,6.11,37.3,1.0,1.0,15.0,0
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,272.18,3.33,12.47,0.0,2.0,6.0,0
CCCCC/C=C\C/C=C\CCCCCCCC(=O)O,280.45,5.88,37.3,1.0,1.0,14.0,0
CC(C)(C)c1cc(C(=O)c2cccs2)cc(C(C)(C)C)c1O,316.47,5.28,37.3,1.0,3.0,2.0,0
N[C@@]1(C(=O)O)CC[C@H]2[C@H](C(=O)O)[C@H]21,185.18,-0.49,100.62,3.0,3.0,2.0,0
O=C(CCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc(F)cc1,395.48,3.22,52.65,1.0,4.0,6.0,0
O=C(O)c1ccc(OCCn2ccnc2)cc1,232.24,1.66,64.35,1.0,4.0,5.0,0
CCN1CCC[C@H]1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC,341.43,0.56,101.73,2.0,5.0,6.0,0
CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC,347.24,2.92,61.8,2.0,4.0,5.0,0
CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O,340.85,2.83,61.8,2.0,4.0,6.0,0
CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(I)c1O,404.25,2.22,61.8,2.0,4.0,5.0,0
CN1CN(c2ccccc2)C2(CCN(CCCC(=O)c3ccc(F)cc3)CC2)C1=O,409.51,3.56,43.86,0.0,4.0,6.0,0
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CC=C(C)C[C@@H]21,314.47,5.74,29.46,1.0,2.0,4.0,0
CC[C@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@@H](CC=O)C[C@@H](C)C(=O)/C=C/[C@]2(C)O[C@H]2[C@@H]1C,581.75,2.67,135.13,2.0,10.0,6.0,0
COc1ccc(C2CNC(=O)C2)cc1OC1CCCC1,275.35,2.62,47.56,1.0,3.0,4.0,0
