MolecularWeight,LogP,TPSA,HBD,HBA,RotatableBonds,Suitability
233.27,2.37,51.46,1.0,4.0,2.0,0
591.78,8.0,36.02,0.0,6.0,15.0,1
351.84,3.33,46.31,0.0,5.0,3.0,0
640.87,2.49,122.37,2.0,6.0,13.0,0
277.28,-0.83,130.05,4.0,7.0,2.0,1
930.2,4.7,228.05,6.0,10.0,23.0,0
179.26,2.03,35.25,1.0,2.0,3.0,1
380.4,2.38,111.62,2.0,5.0,8.0,0
185.23,2.15,22.0,0.0,2.0,1.0,1
409.53,3.12,67.25,2.0,5.0,4.0,0
550.62,-2.64,206.02,3.0,12.0,8.0,0
626.67,-1.59,259.86,10.0,12.0,4.0,0
310.42,2.71,75.27,2.0,3.0,3.0,0
399.42,1.22,122.74,1.0,9.0,6.0,0
153.14,0.67,83.55,3.0,3.0,1.0,1
272.29,4.12,64.73,0.0,5.0,4.0,0
412.64,6.07,18.46,0.0,2.0,11.0,0
171.22,0.64,60.16,1.0,2.0,1.0,0
230.26,3.04,46.53,1.0,2.0,3.0,1
274.8,3.82,16.13,0.0,2.0,5.0,1
499.62,4.51,87.55,2.0,8.0,10.0,1
424.68,3.2,116.89,2.0,6.0,5.0,0
463.8,5.94,50.16,1.0,4.0,4.0,1
320.34,2.73,93.06,2.0,5.0,6.0,1
452.6,5.22,78.87,2.0,4.0,10.0,1
302.41,3.97,54.37,1.0,3.0,0.0,0
419.91,6.68,59.32,0.0,4.0,7.0,0
645.32,6.94,42.68,0.0,4.0,11.0,1
292.42,3.4,41.57,1.0,4.0,10.0,0
631.6,5.54,102.56,2.0,7.0,12.0,1
645.67,2.25,210.23,6.0,12.0,6.0,0
312.41,3.9,43.37,0.0,3.0,1.0,0
229.28,3.06,39.19,0.0,3.0,2.0,0
208.1,1.67,43.09,1.0,1.0,3.0,0
253.35,3.24,12.47,0.0,2.0,1.0,0
360.47,2.23,59.06,1.0,4.0,7.0,0
477.59,4.06,71.97,0.0,7.0,7.0,0
280.42,3.79,6.48,0.0,2.0,4.0,0
473.38,4.29,108.74,3.0,8.0,6.0,1
280.42,3.88,6.48,0.0,2.0,4.0,1
363.52,3.55,59.28,1.0,3.0,15.0,1
358.55,6.9,37.3,1.0,2.0,10.0,0
176.18,0.6,64.68,1.0,3.0,1.0,1
280.42,3.88,6.48,0.0,2.0,4.0,1
147.2,-0.21,52.32,1.0,2.0,3.0,1
420.51,-1.6,162.06,5.0,7.0,7.0,1
173.2,0.29,78.87,2.0,4.0,3.0,0
261.39,2.71,19.37,0.0,4.0,6.0,1
337.46,1.67,82.62,4.0,4.0,10.0,0
476.47,2.97,143.48,2.0,10.0,11.0,1
257.38,3.08,23.47,1.0,2.0,0.0,1
330.39,4.5,73.83,3.0,4.0,4.0,0
374.41,3.49,101.65,1.0,5.0,1.0,0
325.36,2.09,94.09,2.0,5.0,10.0,0
481.52,0.83,181.06,6.0,8.0,10.0,0
499.53,1.1,131.4,3.0,5.0,6.0,1
428.44,2.95,86.0,2.0,6.0,3.0,1
261.37,2.81,29.54,0.0,3.0,3.0,0
86.14,-0.82,24.06,2.0,2.0,0.0,1
88.15,-0.32,52.04,2.0,2.0,3.0,0
434.47,2.25,138.87,3.0,6.0,7.0,0
478.66,3.61,131.19,3.0,8.0,5.0,0
465.53,1.3,137.26,2.0,9.0,7.0,1
310.34,0.88,116.43,2.0,7.0,5.0,1
181.22,0.57,33.42,0.0,2.0,1.0,1
300.83,3.68,6.48,0.0,2.0,3.0,0
502.75,8.24,0.0,0.0,0.0,9.0,1
474.56,2.79,101.82,2.0,7.0,8.0,0
546.59,-1.3,191.22,3.0,11.0,9.0,1
382.53,3.82,53.17,1.0,3.0,6.0,1
456.35,-1.61,208.09,6.0,10.0,7.0,1
277.37,1.72,61.44,2.0,3.0,7.0,0
157.17,0.76,46.61,0.0,3.0,1.0,1
523.55,1.09,161.63,3.0,9.0,11.0,0
291.27,-1.86,149.92,4.0,9.0,2.0,0
75.07,-0.97,63.32,2.0,2.0,1.0,1
438.47,5.17,62.4,1.0,3.0,3.0,0
336.3,2.9,100.88,2.0,6.0,2.0,1
257.29,2.19,59.3,1.0,3.0,4.0,1
